symbol,price_btc,circulating_supply
BTC,1.0,17006812.0
ETH,0.0745467,99138147.4053
XRP,0.0000918851,39146203398.0
BCH,0.151493,17101687.5
EOS,0.00198853,824939926.681
ADA,0.0000373209,25927070538.0
LTC,0.0163652,56315662.6509
XLM,0.000046625,18571311567.2
TRX,0.00000978176,65748111645.1
NEO,0.00928006,65000000.0
MIOTA,0.000213115,2779530283.0
XMR,0.0261312,15982798.9578
DASH,0.0518895,8038371.53571
XEM,0.0000442363,8999999999.0
USDT,0.000108698,2417140813.52
VEN,0.000486385,525779137.697
ETC,0.00238527,101451319.0
QTUM,0.00254084,88560276.0
OMG,0.00186232,102042551.763
ICX,0.000476105,387231348.457
BNB,0.00157249,114041290.11
LSK,0.0013151,105389070.432
BTG,0.00813056,16974636.089
AE,0.000511107,233020472.114
NANO,0.000891211,133248289.204
ZEC,0.0310136,3812706.25
BTM,0.000113874,987000000.0
XVG,0.00000731489,14938798005.7
STEEM,0.000429791,253686599.166
BCN,5.81977E-7,1.8386507792E+11
ONT,0.000934885,112619657.893
SC,0.00000299099,34120328684.0
PPT,0.00262823,37004026.8944
WAN,0.00091423,106152492.636
BTS,0.0000364517,2620240000.0
BCD,0.000596579,153375125.0
ZIL,0.0000115698,7284013186.24
WAVES,0.000756173,100000000.0
STRAT,0.000747326,98836766.2036
MKR,0.115697,618227.770106
BTCP,0.00344752,20420040.202
ZRX,0.000129075,525605246.99
DOGE,5.71358E-7,114239550116
RHOC,0.000181314,359816353.988
DCR,0.0088139,7145742.91082
LRC,0.000108642,572074043.309
SNT,0.0000174779,3470483788.0
XIN,0.144408,416466.227529
DGD,0.0297395,2000000.0
HSR,0.00127219,42925565.0891
IOST,0.00000645279,8400000000.0
AION,0.000406924,133073438.978
WTC,0.0017326,31144099.4107
GNT,0.0000611216,834262000.0
ELF,0.000203577,250000000.0
BAT,0.0000485833,1000000000.0
REP,0.00433339,11000000.0
DGB,0.0000045768,10186012255.7
KMD,0.000442054,104053283.089
ARDR,0.0000431132,998999495.0
ARK,0.000401711,102234282.0
MITH,0.000128093,305054520.126
KNC,0.000290905,134132696.93
NAS,0.00103706,35500000.0
CTXC,0.000233014,149792458.0
QASH,0.0000989953,350000000.0
KCS,0.000455731,75730576.0001
SUB,0.0000896817,383020999.96
PIVX,0.000609835,56096469.1325
GAS,0.00333618,10128375.1058
MONA,0.000561921,59127574.8935
CENNZ,0.00004799,687483001.512
DRGN,0.000131471,238421940.0
SYS,0.0000585358,532650343.474
ETHOS,0.000394453,76404704.0385
CNX,0.000663191,45240781.6597
STORM,0.00000702175,4091706233.6
DCN,8.6853E-8,325226613094
RDD,9.79823E-7,28808713173.8
FCT,0.00310798,8745102.0
GXS,0.00045277,60000000.0
ELA,0.00515229,5122570.90952
NPXS,4.62822E-7,56941511923.4
SALT,0.000450272,57963292.727
BNT,0.000498797,51650373.3433
FUN,0.00000518686,4723473188.66
VERI,0.011691,2036645.44
GTO,0.0000538126,429699460.993
WAX,0.0000368853,621779038.012
NXT,0.000022736,998999941.508
ENG,0.000297322,74836171.09
POWR,0.0000605155,366344075.92
NEBL,0.0016775,13049664.4357
XZC,0.00469986,4646474.99977
FSN,0.000705309,29684331.2
MCO,0.00127518,15793831.095
NCASH,0.00000487784,4117034633.5
KIN,2.64171E-8,756097560976
LINK,0.0000550029,350000000.0
CMT,0.0000302462,633879773.727
R,0.000102725,186450000.0
