date,open_price,high_price,low_price,close_price,volume,market_cap
2017-10-18T00:00:00,316.94,317.24,290.64,314.32,606114000.0,30160500000.0
2017-10-17T00:00:00,333.48,333.48,311.79,317.08,509924000.0,31727700000.0
2017-10-16T00:00:00,336.71,349.35,332.04,333.38,692885000.0,32029200000.0
2017-10-15T00:00:00,339.53,342.72,320.43,336.6,635407000.0,32292100000.0
2017-10-14T00:00:00,338.85,347.98,334.7,339.63,516562000.0,32222400000.0
2017-10-13T00:00:00,304.08,348.6,299.66,338.76,1304360000.0,28911100000.0
2017-10-12T00:00:00,303.5,309.15,303.29,304.14,527557000.0,28851200000.0
2017-10-11T00:00:00,301.18,304.39,299.1,303.46,264146000.0,28626300000.0
2017-10-10T00:00:00,297.6,306.15,293.17,299.87,359706000.0,28281400000.0
2017-10-09T00:00:00,308.67,309.31,288.19,297.39,559467000.0,29328300000.0
2017-10-08T00:00:00,311.06,312.54,308.03,308.61,293167000.0,29550900000.0
2017-10-07T00:00:00,308.89,313.13,304.98,311.12,342205000.0,29340400000.0
2017-10-06T00:00:00,295.15,308.84,294.95,308.59,318664000.0,28031100000.0
2017-10-05T00:00:00,292.77,298.04,288.84,295.86,253747000.0,27800400000.0
2017-10-04T00:00:00,292.75,299.39,290.89,292.66,257906000.0,27794100000.0
2017-10-03T00:00:00,297.48,300.11,288.13,292.46,321680000.0,28238500000.0
2017-10-02T00:00:00,302.48,302.92,294.58,297.48,339443000.0,28708500000.0
2017-10-01T00:00:00,301.55,303.19,295.06,302.34,306185000.0,28615200000.0
2017-09-30T00:00:00,291.48,303.96,291.11,301.46,332439000.0,27655200000.0
2017-09-29T00:00:00,299.12,299.92,279.77,291.47,541375000.0,28375900000.0
2017-09-28T00:00:00,306.47,307.2,295.47,299.15,501894000.0,29068700000.0
2017-09-27T00:00:00,287.02,308.01,286.82,306.47,550244000.0,27219400000.0
2017-09-26T00:00:00,292.35,293.75,287.02,287.44,345801000.0,27720000000.0
2017-09-25T00:00:00,282.22,293.51,281.88,292.33,483161000.0,26755500000.0
2017-09-24T00:00:00,286.21,292.95,278.13,282.48,571411000.0,27129900000.0
2017-09-23T00:00:00,264.6,286.17,261.12,286.17,450934000.0,25077100000.0
2017-09-22T00:00:00,258.11,270.54,256.22,264.31,430081000.0,24458400000.0
2017-09-21T00:00:00,283.26,286.61,255.02,258.58,601266000.0,26836000000.0
2017-09-20T00:00:00,282.01,290.89,278.05,283.74,421404000.0,26712400000.0
2017-09-19T00:00:00,293.66,295.77,274.48,282.8,646909000.0,27809300000.0
2017-09-18T00:00:00,252.23,293.5,252.23,293.5,1127750000.0,23881200000.0
2017-09-17T00:00:00,245.85,257.0,235.24,251.75,427452000.0,23272500000.0
2017-09-16T00:00:00,250.87,262.59,238.22,246.52,711737000.0,23742600000.0
2017-09-15T00:00:00,215.22,258.65,195.03,250.46,1935700000.0,20364900000.0
2017-09-14T00:00:00,276.59,280.84,213.91,213.91,1184590000.0,26166100000.0
2017-09-13T00:00:00,291.12,291.12,260.61,277.11,921692000.0,27535700000.0
2017-09-12T00:00:00,294.63,311.19,287.23,291.46,753144000.0,27861800000.0
2017-09-11T00:00:00,289.75,300.69,286.69,294.53,571307000.0,27394400000.0
2017-09-10T00:00:00,294.06,294.76,268.97,288.75,698326000.0,27797200000.0
2017-09-09T00:00:00,296.17,299.89,287.22,294.4,528621000.0,27990500000.0
2017-09-08T00:00:00,329.64,329.64,285.16,296.5,1098780000.0,31147200000.0
2017-09-07T00:00:00,333.52,333.52,319.94,329.43,718624000.0,31507500000.0
2017-09-06T00:00:00,313.8,334.66,313.49,334.34,1058830000.0,29639100000.0
2017-09-05T00:00:00,297.57,318.57,268.29,312.99,1551050000.0,28100000000.0
2017-09-04T00:00:00,347.13,347.13,279.94,295.17,1801690000.0,32774000000.0
2017-09-03T00:00:00,350.23,366.49,332.23,347.48,986266000.0,33059800000.0
2017-09-02T00:00:00,387.82,389.35,328.1,348.98,1483600000.0,36601200000.0
2017-09-01T00:00:00,383.47,390.04,383.47,387.74,874222000.0,36182900000.0
2017-08-31T00:00:00,378.44,386.14,376.35,383.04,706254000.0,35701500000.0
2017-08-30T00:00:00,369.47,388.75,361.97,378.49,1333320000.0,34848400000.0
2017-08-29T00:00:00,347.96,373.76,347.79,370.67,1220030000.0,32813200000.0
2017-08-28T00:00:00,350.04,352.05,338.41,347.75,854319000.0,33002700000.0
2017-08-27T00:00:00,334.36,347.89,334.36,347.89,633370000.0,31517500000.0
2017-08-26T00:00:00,331.99,334.99,327.92,333.88,514181000.0,31288300000.0
2017-08-25T00:00:00,326.11,336.4,325.8,331.92,760329000.0,30727900000.0
2017-08-24T00:00:00,317.45,327.96,317.08,325.61,697665000.0,29904600000.0
2017-08-23T00:00:00,315.27,324.21,314.54,317.52,811990000.0,29691900000.0
2017-08-22T00:00:00,321.06,327.36,297.91,314.79,1336400000.0,30229900000.0
2017-08-21T00:00:00,300.48,347.05,297.23,321.59,2448970000.0,28285500000.0
2017-08-20T00:00:00,296.64,301.43,291.58,301.43,571947000.0,27918100000.0
2017-08-19T00:00:00,296.18,301.67,286.18,297.47,860202000.0,27867900000.0
2017-08-18T00:00:00,301.7,307.96,292.5,295.59,936160000.0,28380200000.0
2017-08-17T00:00:00,302.81,311.03,300.25,301.46,909494000.0,28477500000.0
2017-08-16T00:00:00,289.82,303.41,285.38,302.27,967643000.0,27249700000.0
2017-08-15T00:00:00,299.95,300.41,279.33,289.82,1051800000.0,28195800000.0
2017-08-14T00:00:00,298.03,306.81,296.41,300.1,864391000.0,28008700000.0
2017-08-13T00:00:00,310.37,310.82,289.31,298.06,1369370000.0,29161100000.0
2017-08-12T00:00:00,308.71,317.56,307.9,310.6,1111650000.0,28998700000.0
2017-08-11T00:00:00,294.5,309.21,294.5,308.86,953576000.0,27657000000.0
2017-08-10T00:00:00,296.96,306.59,289.93,295.89,1076820000.0,27882200000.0
2017-08-09T00:00:00,297.63,318.72,276.69,296.03,2638580000.0,27938700000.0
2017-08-08T00:00:00,269.1,298.91,266.8,296.77,1502410000.0,25254600000.0
2017-08-07T00:00:00,261.24,271.96,256.69,269.18,935727000.0,24511000000.0
2017-08-06T00:00:00,256.42,271.05,252.85,261.57,1482980000.0,24053500000.0
2017-08-05T00:00:00,222.85,256.51,221.95,256.51,1333000000.0,20900000000.0
2017-08-04T00:00:00,225.31,227.62,222.06,223.07,539783000.0,21125600000.0
2017-08-03T00:00:00,220.18,228.29,219.89,225.34,557217000.0,20640100000.0
2017-08-02T00:00:00,227.01,229.51,218.12,219.95,632606000.0,21275200000.0
2017-08-01T00:00:00,204.69,227.74,204.69,226.77,1585330000.0,19179100000.0
2017-07-31T00:00:00,197.41,203.87,193.41,203.87,569414000.0,18492000000.0
2017-07-30T00:00:00,206.74,208.54,196.15,197.98,596234000.0,19360900000.0
2017-07-29T00:00:00,193.34,208.68,179.65,205.79,824355000.0,18101800000.0
2017-07-28T00:00:00,204.32,204.9,192.3,193.12,562571000.0,19125100000.0
