link;address;price;furnished;bedrooms
https://www.expatrentals.eu/item/netherlands/amsterdam/Daniel-Stalpertstraat/2206x2315891;Daniël Stalpertstraat;2350;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Rapenburgerplein/2206x2315830;Rapenburgerplein;1550;1;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Tweede-Helmersstraat/19885x44470257;Tweede Helmersstraat;1800;1;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Eerste-Schinkelstraat/2122x43814537;Eerste Schinkelstraat;1750;1;2
https://www.expatrentals.eu/item/netherlands/amstelveen/Judith-Leysterweg/2122x44511919;Judith Leysterweg;2000;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Kastelenstraat/2122x44511920;Kastelenstraat;1650;1;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Cornelis-Dirkszstraat/2122x43779635;Cornelis Dirkszstraat;1650;1;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Leidsekruisstraat-32/19180x226597;Leidsekruisstraat 32;1500;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Gerrit-Van-Den-Boschpad-26/19171x226557;Gerrit van Den Boschpad 26;1750;0;4
https://www.expatrentals.eu/item/netherlands/amstelveen/Zilverschoonlaan-72/19469x226538;Zilverschoonlaan 72;2750;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Bijlmerdreef-862/19171x226431;Bijlmerdreef 862;1400;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Gibraltarstraat-83/19131x226412;Gibraltarstraat 83;1500;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Van-Ostadestraat-486/19505x226406;Van Ostadestraat 486;1750;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Eva-Besnyostraat/1854x5b0a0a586397b4037291cae1;Eva Besnyöstraat;1800;1;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Rustenburgerstraat/1854x5b0a0a586397b4037291cac4;Rustenburgerstraat;2750;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Emmastraat/1854x5b0a0a586397b4037291caa8;Emmastraat;1700;1;2
https://www.expatrentals.eu/item/netherlands/amstelveen/Alpen-Rondweg/1854x5b0a0a586397b4037291ca8d;Alpen Rondweg;2000;1;4
https://www.expatrentals.eu/item/netherlands/amstelveen/Kardinaal-De-Jongstraat/1854x5b0a0a586397b4037291cab5;Kardinaal de Jongstraat;2500;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Van-Ostadestraat/12955x2546440;Van Ostadestraat;1590;1;1
