link;address;price;furnished;bedrooms
https://www.expatrentals.eu/item/netherlands/amsterdam/Singel/2206x2315928;Singel;1850;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Brouwersgracht/15078x44450271;Brouwersgracht;1650;1;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Rapenburgerplein/2206x2315830;Rapenburgerplein;1550;1;1
https://www.expatrentals.eu/item/netherlands/amstelveen/Markerstraat-2/19227x226774;Markerstraat 2;2500;0;5
https://www.expatrentals.eu/item/netherlands/amsterdam/Windjammerdijk-50/19131x226634;Windjammerdijk 50;2400;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Leidsekruisstraat-32/19180x226597;Leidsekruisstraat 32;1500;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Gerrit-Van-Den-Boschpad-26/19171x226557;Gerrit van Den Boschpad 26;1750;0;4
https://www.expatrentals.eu/item/netherlands/amstelveen/Zilverschoonlaan-72/19469x226538;Zilverschoonlaan 72;2750;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Bijlmerdreef-862/19171x226431;Bijlmerdreef 862;1400;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Gibraltarstraat-83/19131x226412;Gibraltarstraat 83;1500;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Van-Ostadestraat-486/19505x226406;Van Ostadestraat 486;1750;0;3
https://www.expatrentals.eu/item/netherlands/amstelveen/Asserring-123/19469x226203;Asserring 123;2100;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Rooseveltlaan-186/19079x225757;Rooseveltlaan 186;2000;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Bosrankstraat-58/19079x225692;Bosrankstraat 58;1800;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Wilhelminastraat-11/19079x225663;Wilhelminastraat 11;1850;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Herenmarkt-5/19079x225631;Herenmarkt 5;3975;0;3
https://www.expatrentals.eu/item/netherlands/amstelveen/Tigris-16/19003x225580;Tigris 16;2950;0;4
https://www.expatrentals.eu/item/netherlands/aalsmeer/Citroenvlinderstraat-66/19003x225579;Citroenvlinderstraat 66;2950;0;5
https://www.expatrentals.eu/item/netherlands/weesp/Heemraadweg-307/19130x225305;Heemraadweg 307;1250;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Loenermark-53/19079x224993;Loenermark 53;1450;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Nieuwevaart-93/19079x224905;Nieuwevaart 93;1800;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Azaleastraat-8/19079x224892;Azaleastraat 8;1650;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Boeroestraat-94/19079x224800;Boeroestraat 94;1950;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Haparandaweg-948/19079x224699;Haparandaweg 948;3850;0;3
https://www.expatrentals.eu/item/netherlands/amstelveen/Kamerlingh-Onnesstraat-67/19003x224674;Kamerlingh Onnesstraat 67;2100;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Schippersstraat-20/19079x224664;Schippersstraat 20;1500;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Eerste-Leliedwarsstraat-2/19079x224654;Eerste Leliedwarsstraat 2;2000;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Zwarte-Pad-19/19003x224646;Zwarte Pad 19;1750;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Eerste-Jan-Van-Der-Heijdenstraat-30/19079x224644;Eerste Jan van der Heijdenstraat 30;1550;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Prinsengracht-349/19079x224634;Prinsengracht 349;1800;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Ijburglaan-356/19003x224625;IJburglaan 356;1750;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Vierwindenstraat-229/19049x224573;Vierwindenstraat 229;1950;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Schippersgracht-8/19049x224510;Schippersgracht 8;1450;0;1
https://www.expatrentals.eu/item/netherlands/weesp/Sportparklaan-291/19130x224350;Sportparklaan 291;1295;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Schippersgracht-8/19049x224324;Schippersgracht 8;1700;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Vechtstraat-146/19469x224102;Vechtstraat 146;1550;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Amstelveenseweg-738/19199x223813;Amstelveenseweg 738;2150;0;3
https://www.expatrentals.eu/item/netherlands/amsterdam/Herengracht-236/19049x223765;Herengracht 236;1500;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Apollolaan-69/19131x223380;Apollolaan 69;4600;0;3
https://www.expatrentals.eu/item/netherlands/weesp/Blomstraat-1/19130x222386;Blomstraat 1;2500;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Gibraltarstraat-103/19131x222265;Gibraltarstraat 103;1500;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Rapenburgerstraat-73/19131x222080;Rapenburgerstraat 73;1850;0;1
https://www.expatrentals.eu/item/netherlands/muiden/Sluisstraat-6/19065x221654;Sluisstraat 6;975;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Stadionweg-64/19199x220833;Stadionweg 64;1650;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Bankastraat-39/19049x220664;Bankastraat 39;1800;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Raasdorperweg-26/19131x220268;Raasdorperweg 26;1460;0;2
https://www.expatrentals.eu/item/netherlands/amsterdam/Van-Boetzelaerstraat-71/19131x220075;Van Boetzelaerstraat 71;1550;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Dirk-Vreekenstraat-46/19049x218725;Dirk Vreekenstraat 46;2500;0;2
https://www.expatrentals.eu/item/netherlands/hoofddorp/Windvorst-19/19131x218666;Windvorst 19;1600;0;3
https://www.expatrentals.eu/item/netherlands/uithoorn/Rode-Klaver-111/19131x218659;Rode Klaver 111;1575;0;4
https://www.expatrentals.eu/item/netherlands/amsterdam/Haarlemmerdijk/19049x218521;Haarlemmerdijk;1750;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Rijnstraat-52/19049x218239;Rijnstraat 52;1650;0;1
https://www.expatrentals.eu/item/netherlands/amsterdam/Celsiusstraat-64/19469x216885;Celsiusstraat 64;2250;0;3
